n,p,M,trim,theta,count,survival,micro_cost,slack
1024,1546241,1510,5,0.75,590,0.390728476821,0.569929623734,0.031270376266
1024,1053697,1029,5,0.75,402,0.390670553936,0.569845135477,0.031354864523
512,673793,1316,5,0.75,514,0.390577507599,0.569709414977,0.031490585023
512,460289,899,5,0.75,351,0.390433815350,0.569499820658,0.031700179342
1024,1130497,1104,5,0.75,431,0.390398550725,0.569448382496,0.031751617504
256,184321,720,5,0.75,281,0.390277777778,0.569272219036,0.031927780964
512,767489,1499,5,0.75,585,0.390260173449,0.569246540774,0.031953459226
256,319489,1248,5,0.75,487,0.390224358974,0.569194300583,0.032005699417
512,307201,600,5,0.75,234,0.390000000000,0.568867043080,0.032332956920
1024,1097729,1072,5,0.75,418,0.389925373134,0.568758189838,0.032441810162
256,143873,562,5,0.75,219,0.389679715302,0.568399865108,0.032800134892
1024,1563649,1527,5,0.75,595,0.389652914211,0.568360772140,0.032839227860
512,345601,675,5,0.75,263,0.389629629630,0.568326808471,0.032873191529
512,419329,819,5,0.75,319,0.389499389499,0.568136835861,0.033063164139
1024,838657,819,5,0.75,319,0.389499389499,0.568136835861,0.033063164139
256,155137,606,5,0.75,236,0.389438943894,0.568048667880,0.033151332120
256,219649,858,5,0.75,334,0.389277389277,0.567813018913,0.033386981087
256,242689,948,5,0.75,369,0.389240506329,0.567759220211,0.033440779789
512,284161,555,5,0.75,216,0.389189189189,0.567684367315,0.033515632685
256,269057,1051,5,0.75,409,0.389153187441,0.567631853960,0.033568146040
512,330241,645,5,0.75,251,0.389147286822,0.567623247120,0.033576752880
1024,1231873,1203,5,0.75,468,0.389027431421,0.567448422025,0.033751577975
512,380417,743,5,0.75,289,0.388963660834,0.567355404114,0.033844595886
512,785921,1535,5,0.75,597,0.388925081433,0.567299130909,0.033900869091
1024,995329,972,5,0.75,378,0.388888888889,0.567246339253,0.033953660747
512,638977,1248,5,0.75,485,0.388621794872,0.566856746987,0.034343253013
1024,904193,883,5,0.75,343,0.388448471121,0.566603931168,0.034596068832
1024,812033,793,5,0.75,308,0.388398486759,0.566531022306,0.034668977694
1024,1492993,1458,5,0.75,566,0.388203017833,0.566245904793,0.034954095207
256,325889,1273,5,0.75,494,0.388059701493,0.566036858786,0.035163141214
512,573953,1121,5,0.75,435,0.388046387154,0.566017438047,0.035182561953
256,260609,1018,5,0.75,395,0.388015717092,0.565972701669,0.035227298331
1024,836609,817,5,0.75,317,0.388004895961,0.565956917604,0.035243082396
256,135937,531,5,0.75,206,0.387947269303,0.565872861434,0.035327138566
512,703489,1374,5,0.75,533,0.387918486172,0.565830877396,0.035369122604
1024,1539073,1503,5,0.75,583,0.387890884897,0.565790617254,0.035409382746
1024,1410049,1377,5,0.75,534,0.387799564270,0.565657413933,0.035542586067
1024,1272833,1243,5,0.75,482,0.387771520515,0.565616508374,0.035583491626
256,381697,1491,5,0.75,578,0.387659289068,0.565452803832,0.035747196168
1024,623617,609,5,0.75,236,0.387520525452,0.565250398580,0.035949601420
1024,1191937,1164,5,0.75,451,0.387457044674,0.565157803395,0.036042196605
512,572417,1118,5,0.75,433,0.387298747764,0.564926906228,0.036273093772
1024,531457,519,5,0.75,201,0.387283236994,0.564904281701,0.036295718299
1024,962561,940,5,0.75,364,0.387234042553,0.564832525044,0.036367474956
512,782849,1529,5,0.75,592,0.387181164160,0.564755394850,0.036444605150
256,147457,576,5,0.75,223,0.387152777778,0.564713989525,0.036486010475
256,384257,1501,5,0.75,581,0.387075283145,0.564600953261,0.036599046739
256,329473,1287,5,0.75,498,0.386946386946,0.564412940955,0.036787059045
1024,1389569,1357,5,0.75,525,0.386882829772,0.564320234335,0.036879765665
1024,918529,897,5,0.75,347,0.386845039019,0.564265111479,0.036934888521
1024,1072129,1047,5,0.75,405,0.386819484241,0.564227836425,0.036972163575
512,287233,561,5,0.75,217,0.386809269162,0.564212936370,0.036987063630
512,642049,1254,5,0.75,485,0.386762360447,0.564144513748,0.037055486252
1024,1143809,1117,5,0.75,432,0.386750223814,0.564126810850,0.037073189150
512,431617,843,5,0.75,326,0.386714116251,0.564074143152,0.037125856848
256,206593,807,5,0.75,312,0.386617100372,0.563932632545,0.037267367455
512,403969,789,5,0.75,305,0.386565272497,0.563857034673,0.037342965327
512,365569,714,5,0.75,276,0.386554621849,0.563841499282,0.037358500718
512,471553,921,5,0.75,356,0.386536373507,0.563814881640,0.037385118360
256,303361,1185,5,0.75,458,0.386497890295,0.563758748741,0.037441251259
512,678401,1325,5,0.75,512,0.386415094340,0.563637979791,0.037562020209
512,765953,1496,5,0.75,578,0.386363636364,0.563562921466,0.037637078534
256,249857,976,5,0.75,377,0.386270491803,0.563427057695,0.037772942305
256,237313,927,5,0.75,358,0.386192017260,0.563312592102,0.037887407898
1024,814081,795,5,0.75,307,0.386163522013,0.563271027981,0.037928972019
512,746497,1458,5,0.75,563,0.386145404664,0.563244601410,0.037955398590
512,695297,1358,5,0.75,524,0.385861561119,0.562830577723,0.038369422277
512,302593,591,5,0.75,228,0.385786802030,0.562721531616,0.038478468384
256,169217,661,5,0.75,255,0.385779122542,0.562710330057,0.038489669943
1024,1330177,1299,5,0.75,501,0.385681293303,0.562567633057,0.038632366943
1024,724993,708,5,0.75,273,0.385593220339,0.562439166887,0.038760833113
512,503297,983,5,0.75,379,0.385554425229,0.562382579042,0.038817420958
512,784897,1533,5,0.75,591,0.385518590998,0.562330310034,0.038869689966
256,264961,1035,5,0.75,399,0.385507246377,0.562313762390,0.038886237610
512,357377,698,5,0.75,269,0.385386819484,0.562138103697,0.039061896303
256,310273,1212,5,0.75,467,0.385313531353,0.562031203178,0.039168796822
256,215297,841,5,0.75,324,0.385255648038,0.561946772639,0.039253227361
512,733697,1433,5,0.75,552,0.385205861828,0.561874152808,0.039325847192
256,301057,1176,5,0.75,453,0.385204081633,0.561871556155,0.039328443845
512,428033,836,5,0.75,322,0.385167464115,0.561818144619,0.039381855381
256,375553,1467,5,0.75,565,0.385139740968,0.561777706710,0.039422293290
512,514561,1005,5,0.75,387,0.385074626866,0.561682729103,0.039517270897
512,525313,1026,5,0.75,395,0.384990253411,0.561559659161,0.039640340839
512,694273,1356,5,0.75,522,0.384955752212,0.561509334558,0.039690665442
512,658433,1286,5,0.75,495,0.384914463453,0.561449109392,0.039750890608
1024,1423361,1390,5,0.75,535,0.384892086331,0.561416469374,0.039783530626
512,695809,1359,5,0.75,523,0.384841795438,0.561343113395,0.039856886605
1024,790529,772,5,0.75,297,0.384715025907,0.561158203118,0.040041796882
256,247553,967,5,0.75,372,0.384694932782,0.561128894614,0.040071105386
256,274177,1071,5,0.75,412,0.384687208217,0.561117627305,0.040082372695
256,153089,598,5,0.75,230,0.384615384615,0.561012862998,0.040187137002
256,183041,715,5,0.75,275,0.384615384615,0.561012862998,0.040187137002
256,254977,996,5,0.75,383,0.384538152610,0.560900209812,0.040299790188
512,560641,1095,5,0.75,421,0.384474885845,0.560807926792,0.040392073208
256,183809,718,5,0.75,276,0.384401114206,0.560700321013,0.040499678987
1024,1417217,1384,5,0.75,532,0.384393063584,0.560688578106,0.040511421894
256,349697,1366,5,0.75,525,0.384333821376,0.560602165441,0.040597834559
1024,1503233,1468,5,0.75,564,0.384196185286,0.560401404837,0.040798595163
256,320513,1252,5,0.75,481,0.384185303514,0.560385532320,0.040814467680
512,523777,1023,5,0.75,393,0.384164222874,0.560354783393,0.040845216607
512,326657,638,5,0.75,245,0.384012539185,0.560133532492,0.041066467508
512,324097,633,5,0.75,243,0.383886255924,0.559949331504,0.041250668496
256,238081,930,5,0.75,357,0.383870967742,0.559927031650,0.041272968350
1024,1502209,1467,5,0.75,563,0.383776414451,0.559789113058,0.041410886942
512,416257,813,5,0.75,312,0.383763837638,0.559770768098,0.041429231902
1024,1545217,1509,5,0.75,579,0.383697813121,0.559674462529,0.041525537471
512,471041,920,5,0.75,353,0.383695652174,0.559671310499,0.041528689501
1024,765953,748,5,0.75,287,0.383689839572,0.559662832044,0.041537167956
1024,928769,907,5,0.75,348,0.383682469680,0.559652082073,0.041547917927
512,600577,1173,5,0.75,450,0.383631713555,0.559578047491,0.041621952509
1024,1038337,1014,5,0.75,389,0.383629191321,0.559574368477,0.041625631523
512,696833,1361,5,0.75,522,0.383541513593,0.559446478810,0.041753521190
1024,979969,957,5,0.75,367,0.383490073145,0.559371446053,0.041828553947
256,151553,592,5,0.75,227,0.383445945946,0.559307080644,0.041892919356
512,690689,1349,5,0.75,517,0.383246849518,0.559016671936,0.042183328064
256,357377,1396,5,0.75,535,0.383237822350,0.559003504606,0.042196495394
1024,793601,775,5,0.75,297,0.383225806452,0.558985977815,0.042214022185
512,473089,924,5,0.75,354,0.383116883117,0.558827098597,0.042372901403
256,324097,1266,5,0.75,485,0.383096366509,0.558797172386,0.042402827614
256,257281,1005,5,0.75,385,0.383084577114,0.558779975981,0.042420024019
256,360193,1407,5,0.75,539,0.383084577114,0.558779975981,0.042420024019
256,262657,1026,5,0.75,393,0.383040935673,0.558716319114,0.042483680886
512,619009,1209,5,0.75,463,0.382961124897,0.558599904447,0.042600095553
512,345089,674,5,0.75,258,0.382789317507,0.558349300444,0.042850699556
256,340481,1330,5,0.75,509,0.382706766917,0.558228889392,0.042971110608
512,715777,1398,5,0.75,535,0.382689556509,0.558203785715,0.042996214285
512,384001,750,5,0.75,287,0.382666666667,0.558170397825,0.043029602175
1024,1370113,1338,5,0.75,512,0.382660687593,0.558161676549,0.043038323451
256,280321,1095,5,0.75,419,0.382648401826,0.558143756119,0.043056243881
512,385537,753,5,0.75,288,0.382470119522,0.557883707587,0.043316292413
256,201473,787,5,0.75,301,0.382465057179,0.557876323484,0.043323676516
256,232961,910,5,0.75,348,0.382417582418,0.557807075209,0.043392924791
256,380929,1488,5,0.75,569,0.382392473118,0.557770449946,0.043429550054
256,307969,1203,5,0.75,460,0.382377389859,0.557748448999,0.043451551001
512,557057,1088,5,0.75,416,0.382352941176,0.557712787333,0.043487212667
1024,1288193,1258,5,0.75,481,0.382352941176,0.557712787333,0.043487212667
512,585217,1143,5,0.75,437,0.382327209099,0.557675253664,0.043524746336
1024,1561601,1525,5,0.75,583,0.382295081967,0.557628391955,0.043571608045
512,495617,968,5,0.75,370,0.382231404959,0.557535510541,0.043664489459
1024,1320961,1290,5,0.75,493,0.382170542636,0.557446734721,0.043753265279
1024,833537,814,5,0.75,311,0.382063882064,0.557291156044,0.043908843956
256,246017,961,5,0.75,367,0.381893860562,0.557043156995,0.044156843005
1024,1161217,1134,5,0.75,433,0.381834215168,0.556956156228,0.044243843772
512,394241,770,5,0.75,294,0.381818181818,0.556932769449,0.044267230551
512,623617,1218,5,0.75,465,0.381773399015,0.556867447754,0.044332552246
256,185089,723,5,0.75,276,0.381742738589,0.556822725432,0.044377274568
512,775681,1515,5,0.75,578,0.381518151815,0.556495135652,0.044704864348
512,414721,810,5,0.75,309,0.381481481481,0.556441647077,0.044758352923
256,281857,1101,5,0.75,420,0.381471389646,0.556426926788,0.044773073212
512,524801,1025,5,0.75,391,0.381463414634,0.556415294169,0.044784705831
256,154369,603,5,0.75,230,0.381426202322,0.556361015046,0.044838984954
256,355073,1387,5,0.75,529,0.381398702235,0.556320902500,0.044879097500
256,346369,1353,5,0.75,516,0.381374722838,0.556285925349,0.044914074651
1024,1324033,1293,5,0.75,493,0.381283836040,0.556153354826,0.045046645174
256,270593,1057,5,0.75,403,0.381267738884,0.556129874976,0.045070125024
1024,1453057,1419,5,0.75,541,0.381254404510,0.556110425012,0.045089574988
512,667649,1304,5,0.75,497,0.381134969325,0.555936212857,0.045263787143
512,742913,1451,5,0.75,553,0.381116471399,0.555909231164,0.045290768836
1024,1179649,1152,5,0.75,439,0.381076388889,0.555850765474,0.045349234526
256,177409,693,5,0.75,264,0.380952380952,0.555669883350,0.045530116650
512,778241,1520,5,0.75,579,0.380921052632,0.555624186814,0.045575813186
256,364289,1423,5,0.75,542,0.380885453268,0.555572260391,0.045627739609
256,240641,940,5,0.75,358,0.380851063830,0.555522098807,0.045677901193
256,376577,1471,5,0.75,560,0.380693405846,0.555292133599,0.045907866401
256,344321,1345,5,0.75,512,0.380669144981,0.555256745890,0.045943254110
256,384001,1500,5,0.75,571,0.380666666667,0.555253130938,0.045946869062
512,718337,1403,5,0.75,534,0.380612972202,0.555174810396,0.046025189604
1024,1487873,1453,5,0.75,553,0.380591878871,0.555144042958,0.046055957042
256,287233,1122,5,0.75,427,0.380570409982,0.555112727719,0.046087272281
256,265729,1038,5,0.75,395,0.380539499037,0.555067639980,0.046132360020
256,220673,862,5,0.75,328,0.380510440835,0.555025254715,0.046174745285
256,259841,1015,5,0.75,386,0.380295566502,0.554711831827,0.046488168173
256,288257,1126,5,0.75,428,0.380106571936,0.554436158032,0.046763841968
256,387329,1513,5,0.75,575,0.380039656312,0.554338552665,0.046861447335
1024,746497,729,5,0.75,277,0.379972565158,0.554240691263,0.046959308737
1024,673793,658,5,0.75,250,0.379939209726,0.554192037916,0.047007962084
256,285697,1116,5,0.75,424,0.379928315412,0.554176147105,0.047023852895
1024,703489,687,5,0.75,261,0.379912663755,0.554153317075,0.047046682925
512,498689,974,5,0.75,370,0.379876796715,0.554101000209,0.047098999791
1024,1210369,1182,5,0.75,449,0.379864636210,0.554083262490,0.047116737510
1024,638977,624,5,0.75,237,0.379807692308,0.554000202210,0.047199797790
1024,1073153,1048,5,0.75,398,0.379770992366,0.553946670449,0.047253329551
1024,642049,627,5,0.75,238,0.379585326954,0.553675852668,0.047524147332
256,161281,630,5,0.75,239,0.379365079365,0.553354592170,0.047845407830
512,434689,849,5,0.75,322,0.379269729093,0.553215511074,0.047984488926
256,211969,828,5,0.75,314,0.379227053140,0.553153262502,0.048046737498
256,160001,625,5,0.75,237,0.379200000000,0.553113801887,0.048086198113
512,383489,749,5,0.75,284,0.379172229640,0.553073295110,0.048126704890
1024,783361,765,5,0.75,290,0.379084967320,0.552946011373,0.048253988627
512,497153,971,5,0.75,368,0.378990731205,0.552808555424,0.048391444576
1024,964609,942,5,0.75,357,0.378980891720,0.552794203221,0.048405796779
512,543233,1061,5,0.75,402,0.378887841659,0.552658477291,0.048541522709
1024,1051649,1027,5,0.75,389,0.378773125609,0.552491148623,0.048708851377
512,626177,1223,5,0.75,463,0.378577269011,0.552205465639,0.048994534361
256,326657,1276,5,0.75,483,0.378526645768,0.552131624885,0.049068375115
512,275969,539,5,0.75,204,0.378478664193,0.552061637354,0.049138362646
1024,1225729,1197,5,0.75,453,0.378446115288,0.552014160433,0.049185839567
512,616961,1205,5,0.75,456,0.378423236515,0.551980788689,0.049219211311
256,267521,1045,5,0.75,395,0.377990430622,0.551349483539,0.049850516461
512,520193,1016,5,0.75,384,0.377952755906,0.551294529938,0.049905470062
1024,875521,855,5,0.75,323,0.377777777778,0.551039300989,0.050160699011
1024,946177,924,5,0.75,349,0.377705627706,0.550934060481,0.050265939519
1024,1401857,1369,5,0.75,517,0.377647918188,0.550849883449,0.050350116551
256,368129,1438,5,0.75,543,0.377607788595,0.550791349082,0.050408650918
512,724481,1415,5,0.75,534,0.377385159011,0.550466614125,0.050733385875
512,772097,1508,5,0.75,569,0.377320954907,0.550372963872,0.050827036128
512,610817,1193,5,0.75,450,0.377200335289,0.550197024063,0.051002975937
1024,879617,859,5,0.75,324,0.377182770664,0.550171403713,0.051028596287
1024,1533953,1498,5,0.75,565,0.377169559413,0.550152133340,0.051047866660
1024,1303553,1273,5,0.75,480,0.377062058130,0.549995328375,0.051204671625
512,368129,719,5,0.75,271,0.376912378303,0.549777000373,0.051422999627
256,385793,1507,5,0.75,568,0.376907763769,0.549770269459,0.051429730541
1024,1239041,1210,5,0.75,456,0.376859504132,0.549699876339,0.051500123661
1024,1312769,1282,5,0.75,483,0.376755070203,0.549547545517,0.051652454483
1024,772097,754,5,0.75,284,0.376657824934,0.549405700315,0.051794299685
256,275969,1078,5,0.75,406,0.376623376623,0.549355452858,0.051844547142
256,299777,1171,5,0.75,441,0.376601195559,0.549323098816,0.051876901184
512,462337,903,5,0.75,340,0.376522702104,0.549208605637,0.051991394363
256,189697,741,5,0.75,279,0.376518218623,0.549202065882,0.051997934118
512,285697,558,5,0.75,210,0.376344086022,0.548948070245,0.052251929755
1024,930817,909,5,0.75,342,0.376237623762,0.548792780834,0.052407219166
512,649217,1268,5,0.75,477,0.376182965300,0.548713054172,0.052486945828
512,671233,1311,5,0.75,493,0.376048817696,0.548517381991,0.052682618009
1024,1345537,1314,5,0.75,494,0.375951293760,0.548375130315,0.052824869685
512,721921,1410,5,0.75,530,0.375886524823,0.548280656178,0.052919343822
512,570881,1115,5,0.75,419,0.375784753363,0.548132208924,0.053067791076
512,414209,809,5,0.75,304,0.375772558714,0.548114421401,0.053085578599
256,279553,1092,5,0.75,410,0.375457875458,0.547655413879,0.053544586121
512,758273,1481,5,0.75,556,0.375422012154,0.547603102464,0.053596897536
256,372481,1455,5,0.75,546,0.375257731959,0.547363477877,0.053836522123
512,771073,1506,5,0.75,565,0.375166002656,0.547229678449,0.053970321551
512,518657,1013,5,0.75,380,0.375123395854,0.547167530742,0.054032469258
256,337153,1317,5,0.75,494,0.375094912680,0.547125984233,0.054074015767
512,331777,648,5,0.75,243,0.375000000000,0.546987541423,0.054212458577
512,509441,995,5,0.75,373,0.374874371859,0.546804296015,0.054395703985
1024,617473,603,5,0.75,226,0.374792703151,0.546685171306,0.054514828694
256,306689,1198,5,0.75,449,0.374791318865,0.546683152140,0.054516847860
1024,1079297,1054,5,0.75,395,0.374762808349,0.546641565748,0.054558434252
1024,808961,790,5,0.75,296,0.374683544304,0.546525948561,0.054674051439
256,239873,937,5,0.75,351,0.374599786553,0.546403776704,0.054796223296
1024,1509377,1474,5,0.75,552,0.374491180461,0.546245360227,0.054954639773
512,632321,1235,5,0.75,462,0.374089068826,0.545658826747,0.055541173253
1024,1377281,1345,5,0.75,503,0.373977695167,0.545496373404,0.055703626596
1024,1514497,1479,5,0.75,553,0.373901284652,0.545384918471,0.055815081529
256,168449,658,5,0.75,246,0.373860182371,0.545324965309,0.055875034691
1024,1432577,1399,5,0.75,523,0.373838456040,0.545293274556,0.055906725444
256,158209,618,5,0.75,231,0.373786407767,0.545217355205,0.055982644795
256,175361,685,5,0.75,256,0.373722627737,0.545124323520,0.056075676480
256,188417,736,5,0.75,275,0.373641304348,0.545005702505,0.056194297495
1024,1022977,999,5,0.75,373,0.373373373373,0.544614889425,0.056585110575
256,364801,1425,5,0.75,532,0.373333333333,0.544556485683,0.056643514317
1024,1075201,1050,5,0.75,392,0.373333333333,0.544556485683,0.056643514317
256,231169,903,5,0.75,337,0.373200442968,0.544362647352,0.056837352648
256,345089,1348,5,0.75,503,0.373145400593,0.544282360704,0.056917639296
512,706049,1379,5,0.75,514,0.372733865120,0.543682081298,0.057517918702
256,331777,1296,5,0.75,483,0.372685185185,0.543611075118,0.057588924882
256,303617,1186,5,0.75,442,0.372681281619,0.543605381245,0.057594618755
512,303617,593,5,0.75,221,0.372681281619,0.543605381245,0.057594618755
512,329729,644,5,0.75,240,0.372670807453,0.543590103277,0.057609896723
256,193793,757,5,0.75,282,0.372523117569,0.543374677873,0.057825322127
1024,1569793,1533,5,0.75,571,0.372472276582,0.543300519509,0.057899480491
512,576001,1125,5,0.75,419,0.372444444444,0.543259922622,0.057940077378
1024,778241,760,5,0.75,283,0.372368421053,0.543149032360,0.058050967640
512,380929,744,5,0.75,277,0.372311827957,0.543066483778,0.058133516222
1024,1397761,1365,5,0.75,508,0.372161172161,0.542846732196,0.058353267804
256,355841,1390,5,0.75,517,0.371942446043,0.542527690965,0.058672309035
512,349697,683,5,0.75,254,0.371888726208,0.542449333417,0.058750666583
1024,694273,678,5,0.75,252,0.371681415929,0.542146943711,0.059053056289
512,583169,1139,5,0.75,423,0.371378402107,0.541704957616,0.059495042384
1024,1070081,1045,5,0.75,388,0.371291866029,0.541578733198,0.059621266802
512,355841,695,5,0.75,258,0.371223021583,0.541478314387,0.059721685613
256,328961,1285,5,0.75,477,0.371206225681,0.541453815323,0.059746184677
