n,p,M,trim,theta,count,survival,micro_cost,slack
256,2507777,9796,5,0.75,3816,0.389546753777,0.568205922981,0.032994077019
256,2208257,8626,5,0.75,3360,0.389520055646,0.568166980193,0.033033019807
1024,8997889,8787,5,0.75,3422,0.389438943894,0.568048667880,0.033151332120
256,2102273,8212,5,0.75,3198,0.389430102289,0.568035771219,0.033164228781
512,4866049,9504,5,0.75,3701,0.389414983165,0.568013717959,0.033186282041
1024,9093121,8880,5,0.75,3458,0.389414414414,0.568012888360,0.033187111640
512,4304897,8408,5,0.75,3274,0.389391056137,0.567978817196,0.033221182804
1024,8599553,8398,5,0.75,3270,0.389378423434,0.567960390713,0.033239609287
1024,9330689,9112,5,0.75,3548,0.389376646181,0.567957798352,0.033242201648
512,4732417,9243,5,0.75,3599,0.389375743806,0.567956482118,0.033243517882
512,4750849,9279,5,0.75,3613,0.389373854941,0.567953726956,0.033246273044
512,4449793,8691,5,0.75,3384,0.389368312047,0.567945641905,0.033254358095
256,2150657,8401,5,0.75,3271,0.389358409713,0.567931198030,0.033268801970
256,2516993,9832,5,0.75,3828,0.389340927583,0.567905698011,0.033294301989
512,4811777,9398,5,0.75,3659,0.389338157055,0.567901656825,0.033298343175
256,2381569,9303,5,0.75,3622,0.389336773084,0.567899638119,0.033300361881
1024,9849857,9619,5,0.75,3745,0.389333610562,0.567895025160,0.033304974840
256,2538241,9915,5,0.75,3860,0.389309127584,0.567859313469,0.033340686531
256,2391041,9340,5,0.75,3636,0.389293361884,0.567836317092,0.033363682908
512,4274689,8349,5,0.75,3250,0.389268175829,0.567799579870,0.033400420130
512,4745729,9269,5,0.75,3608,0.389254504262,0.567779638063,0.033420361937
512,4996097,9758,5,0.75,3798,0.389219102275,0.567727999542,0.033472000458
512,5072897,9908,5,0.75,3856,0.389180460234,0.567671634969,0.033528365031
256,2245121,8770,5,0.75,3413,0.389167616876,0.567652901217,0.033547098783
512,4677121,9135,5,0.75,3555,0.389162561576,0.567645527388,0.033554472612
512,4772353,9321,5,0.75,3627,0.389121338912,0.567585398631,0.033614601369
512,4711937,9203,5,0.75,3581,0.389112246007,0.567572135415,0.033627864585
512,4618753,9021,5,0.75,3510,0.389092118390,0.567542776601,0.033657223399
256,2175233,8497,5,0.75,3306,0.389078498294,0.567522909872,0.033677090128
256,2487809,9718,5,0.75,3781,0.389071825478,0.567513176681,0.033686823319
1024,9520129,9297,5,0.75,3617,0.389050231257,0.567481678628,0.033718321372
1024,9139201,8925,5,0.75,3472,0.389019607843,0.567437010292,0.033762989708
256,2460673,9612,5,0.75,3739,0.388992925510,0.567398090548,0.033801909452
1024,8813569,8607,5,0.75,3348,0.388985709306,0.567387564752,0.033812435248
256,2466049,9633,5,0.75,3747,0.388975397073,0.567372522983,0.033827477017
256,2116097,8266,5,0.75,3215,0.388942656666,0.567324766731,0.033875233269
1024,9799681,9570,5,0.75,3722,0.388923719958,0.567297145016,0.033902854984
512,4523521,8835,5,0.75,3436,0.388907753254,0.567273855447,0.033926144553
256,2459393,9607,5,0.75,3736,0.388883106068,0.567237904238,0.033962095762
256,2358017,9211,5,0.75,3582,0.388882857453,0.567237541599,0.033962458401
256,2235137,8731,5,0.75,3395,0.388844347726,0.567181370024,0.034018629976
1024,9588737,9364,5,0.75,3641,0.388829560017,0.567159800177,0.034040199823
256,2311681,9030,5,0.75,3511,0.388815060908,0.567138651291,0.034061348709
512,5097473,9956,5,0.75,3871,0.388810767376,0.567132388603,0.034067611397
512,4664321,9110,5,0.75,3542,0.388803512623,0.567121806577,0.034078193423
1024,9305089,9087,5,0.75,3533,0.388797182789,0.567112573668,0.034087426332
1024,10063873,9828,5,0.75,3821,0.388787138787,0.567097923152,0.034102076848
256,2414593,9432,5,0.75,3667,0.388782866836,0.567091691942,0.034108308058
512,4850689,9474,5,0.75,3683,0.388748152839,0.567041056945,0.034158943055
512,4790273,9356,5,0.75,3637,0.388734501924,0.567021145263,0.034178854737
1024,8866817,8659,5,0.75,3366,0.388728490588,0.567012376927,0.034187623073
256,2212097,8641,5,0.75,3359,0.388728156463,0.567011889562,0.034188110438
1024,8645633,8443,5,0.75,3282,0.388724387066,0.567006391393,0.034193608607
512,4264961,8330,5,0.75,3238,0.388715486194,0.566993408284,0.034206591716
512,5060609,9884,5,0.75,3842,0.388709024686,0.566983983312,0.034216016688
512,4632577,9048,5,0.75,3517,0.388704686118,0.566977654932,0.034222345068
256,2379521,9295,5,0.75,3613,0.388703604088,0.566976076646,0.034223923354
1024,9209857,8994,5,0.75,3496,0.388703580165,0.566976041751,0.034223958249
256,2423041,9465,5,0.75,3679,0.388695192816,0.566963807683,0.034236192317
512,4707841,9195,5,0.75,3573,0.388580750408,0.566796878160,0.034403121840
512,4525057,8838,5,0.75,3434,0.388549445576,0.566751215885,0.034448784115
1024,9495553,9273,5,0.75,3603,0.388547395665,0.566748225816,0.034451774184
512,5066753,9896,5,0.75,3845,0.388540824576,0.566738641005,0.034461358995
1024,9177089,8962,5,0.75,3482,0.388529346128,0.566721898158,0.034478101842
512,4845569,9464,5,0.75,3677,0.388524936602,0.566715466276,0.034484533724
1024,9815041,9585,5,0.75,3724,0.388523735003,0.566713713583,0.034486286417
1024,8964097,8754,5,0.75,3401,0.388508110578,0.566690923274,0.034509076726
512,4458497,8708,5,0.75,3383,0.388493339458,0.566669377625,0.034530622375
256,2156801,8425,5,0.75,3273,0.388486646884,0.566659615613,0.034540384387
512,4366337,8528,5,0.75,3313,0.388484990619,0.566657199729,0.034542800271
256,2231297,8716,5,0.75,3386,0.388480954566,0.566651312608,0.034548687392
256,2317057,9051,5,0.75,3516,0.388465362943,0.566628570145,0.034571429855
1024,8519681,8320,5,0.75,3232,0.388461538462,0.566622991628,0.034577008372
256,2377729,9288,5,0.75,3608,0.388458225668,0.566618159476,0.034581840524
512,4630529,9044,5,0.75,3513,0.388434321097,0.566583291469,0.034616708531
256,2192129,8563,5,0.75,3326,0.388415275020,0.566555510225,0.034644489775
256,2147329,8388,5,0.75,3258,0.388412017167,0.566550758212,0.034649241788
256,2119681,8280,5,0.75,3216,0.388405797101,0.566541685416,0.034658314584
512,4326401,8450,5,0.75,3282,0.388402366864,0.566536681957,0.034663318043
512,4369921,8535,5,0.75,3315,0.388400702988,0.566534254971,0.034665745029
256,2274817,8886,5,0.75,3451,0.388363718208,0.566480307735,0.034719692265
256,2296577,8971,5,0.75,3484,0.388362501393,0.566478532848,0.034721467152
512,4331009,8459,5,0.75,3285,0.388343775860,0.566451219159,0.034748780841
512,5091841,9945,5,0.75,3862,0.388335847159,0.566439654091,0.034760345909
256,2232833,8722,5,0.75,3387,0.388328365054,0.566428740442,0.034771259558
1024,10218497,9979,5,0.75,3875,0.388315462471,0.566409920303,0.034790079697
512,4856321,9485,5,0.75,3683,0.388297311545,0.566383444754,0.034816555246
1024,9702401,9475,5,0.75,3679,0.388284960422,0.566365428994,0.034834571006
256,2157313,8427,5,0.75,3272,0.388275780230,0.566352038459,0.034847961541
1024,9075713,8863,5,0.75,3441,0.388243258490,0.566304601162,0.034895398838
256,2172161,8485,5,0.75,3294,0.388214496170,0.566262647479,0.034937352521
512,4817921,9410,5,0.75,3653,0.388204038257,0.566247393218,0.034952606782
1024,10060801,9825,5,0.75,3814,0.388193384224,0.566231852889,0.034968147111
256,2258177,8821,5,0.75,3424,0.388164607187,0.566189877741,0.035010122259
1024,9695233,9468,5,0.75,3675,0.388149556401,0.566167924160,0.035032075840
256,2540033,9922,5,0.75,3851,0.388127393671,0.566135596861,0.035064403139
256,2188033,8547,5,0.75,3317,0.388089388089,0.566080160649,0.035119839351
512,4641281,9065,5,0.75,3518,0.388086045229,0.566075284641,0.035124715359
256,2369537,9256,5,0.75,3592,0.388072601556,0.566055675249,0.035144324751
1024,9581569,9357,5,0.75,3631,0.388051725981,0.566025225437,0.035174774563
256,2427137,9481,5,0.75,3679,0.388039236367,0.566007007670,0.035192992330
256,2162177,8446,5,0.75,3277,0.387994316836,0.565941486540,0.035258513460
1024,10079233,9843,5,0.75,3819,0.387991466016,0.565937328238,0.035262671762
256,2220289,8673,5,0.75,3365,0.387985702756,0.565928921753,0.035271078247
1024,8828929,8622,5,0.75,3345,0.387961029923,0.565892933135,0.035307066865
1024,9591809,9367,5,0.75,3634,0.387957723924,0.565888110894,0.035311889106
256,2146561,8385,5,0.75,3253,0.387954680978,0.565883672351,0.035316327649
512,4550657,8888,5,0.75,3448,0.387938793879,0.565860498898,0.035339501102
1024,9661441,9435,5,0.75,3660,0.387917329094,0.565829189644,0.035370810356
1024,10039297,9804,5,0.75,3803,0.387902896777,0.565808138183,0.035391861817
256,2331649,9108,5,0.75,3533,0.387900746596,0.565805001858,0.035394998142
512,4832257,9438,5,0.75,3661,0.387899978809,0.565803881938,0.035396118062
1024,8487937,8289,5,0.75,3215,0.387863433466,0.565750575678,0.035449424322
256,2407169,9403,5,0.75,3647,0.387854939913,0.565738186698,0.035461813302
512,4323329,8444,5,0.75,3275,0.387849360493,0.565730048369,0.035469951631
512,4715521,9210,5,0.75,3572,0.387839305103,0.565715381241,0.035484618759
512,4361729,8519,5,0.75,3304,0.387838948233,0.565714860699,0.035485139301
1024,10183681,9945,5,0.75,3857,0.387833081951,0.565706303943,0.035493696057
1024,9639937,9414,5,0.75,3651,0.387826641173,0.565696909209,0.035503090791
256,2320897,9066,5,0.75,3516,0.387822634017,0.565691064238,0.035508935762
512,4733441,9245,5,0.75,3585,0.387777176852,0.565624758897,0.035575241103
512,4989953,9746,5,0.75,3779,0.387748820029,0.565583396686,0.035616603314
1024,8825857,8619,5,0.75,3342,0.387747998608,0.565582198534,0.035617801466
512,4526593,8841,5,0.75,3428,0.387738943558,0.565568990536,0.035631009464
512,4592641,8970,5,0.75,3478,0.387736900780,0.565566010871,0.035633989129
512,4348417,8493,5,0.75,3293,0.387731072648,0.565557509763,0.035642490237
512,4273153,8346,5,0.75,3236,0.387730649413,0.565556892418,0.035643107582
1024,8681473,8478,5,0.75,3287,0.387709365416,0.565525846869,0.035674153131
1024,9223169,9007,5,0.75,3492,0.387698456756,0.565509935132,0.035690064868
1024,9131009,8917,5,0.75,3457,0.387686441628,0.565492409465,0.035707590535
256,2325761,9085,5,0.75,3522,0.387671986791,0.565471325156,0.035728674844
256,2132993,8332,5,0.75,3230,0.387662025924,0.565456795902,0.035743204098
512,4771841,9320,5,0.75,3613,0.387660944206,0.565455218072,0.035744781928
256,2285057,8926,5,0.75,3460,0.387631637912,0.565412470931,0.035787529069
256,2386177,9321,5,0.75,3613,0.387619354147,0.565394553420,0.035805446580
512,4266497,8333,5,0.75,3230,0.387615504620,0.565388938372,0.035811061628
256,2153729,8413,5,0.75,3261,0.387614406276,0.565387336291,0.035812663709
1024,9711617,9484,5,0.75,3676,0.387600168705,0.565366568894,0.035833431106
1024,9035777,8824,5,0.75,3420,0.387579329102,0.565336171552,0.035863828448
512,4474369,8739,5,0.75,3387,0.387572948850,0.565326865103,0.035873134897
256,2405633,9397,5,0.75,3642,0.387570501224,0.565323294913,0.035876705087
1024,9308161,9090,5,0.75,3523,0.387568756876,0.565320750549,0.035879249451
256,2204929,8613,5,0.75,3338,0.387553697899,0.565298785021,0.035901214979
512,5026817,9818,5,0.75,3805,0.387553473212,0.565298457286,0.035901542714
1024,9047041,8835,5,0.75,3424,0.387549518959,0.565292689480,0.035907310520
512,5071873,9906,5,0.75,3839,0.387542903291,0.565283039645,0.035916960355
256,2323969,9078,5,0.75,3518,0.387530293016,0.565264645877,0.035935354123
512,4317697,8433,5,0.75,3268,0.387525198624,0.565257215027,0.035942784973
1024,9782273,9553,5,0.75,3702,0.387522244321,0.565252905781,0.035947094219
512,4973057,9713,5,0.75,3764,0.387521877896,0.565252371301,0.035947628699
256,2227201,8700,5,0.75,3371,0.387471264368,0.565178544716,0.036021455284
1024,9062401,8850,5,0.75,3429,0.387457627119,0.565158652968,0.036041347032
512,4384769,8564,5,0.75,3318,0.387435777674,0.565126782638,0.036073217362
1024,10064897,9829,5,0.75,3808,0.387424966935,0.565111013732,0.036088986268
1024,9044993,8833,5,0.75,3422,0.387410845692,0.565090416015,0.036109583985
512,4270081,8340,5,0.75,3231,0.387410071942,0.565089287398,0.036110712602
1024,8799233,8593,5,0.75,3329,0.387408355638,0.565086783939,0.036113216061
1024,9180161,8965,5,0.75,3473,0.387395426659,0.565067925298,0.036132074702
1024,9925633,9693,5,0.75,3755,0.387392963995,0.565064333173,0.036135666827
1024,9225217,9009,5,0.75,3490,0.387390387390,0.565060574852,0.036139425148
256,2195969,8578,5,0.75,3323,0.387386337142,0.565054667024,0.036145332976
256,2552833,9972,5,0.75,3863,0.387384677096,0.565052245625,0.036147754375
256,2482177,9696,5,0.75,3756,0.387376237624,0.565039935529,0.036160064471
256,2376449,9283,5,0.75,3596,0.387374771087,0.565037796390,0.036162203610
512,4377601,8550,5,0.75,3312,0.387368421053,0.565028534017,0.036171465983
512,4984321,9735,5,0.75,3771,0.387365177196,0.565023802419,0.036176197581
512,4899841,9570,5,0.75,3707,0.387356321839,0.565010885700,0.036189114300
1024,9604097,9379,5,0.75,3633,0.387354728649,0.565008561819,0.036191438181
256,2344193,9157,5,0.75,3547,0.387353936879,0.565007406917,0.036192593083
256,2557697,9991,5,0.75,3870,0.387348613752,0.564999642427,0.036200357573
256,2131457,8326,5,0.75,3225,0.387340859957,0.564988332481,0.036211667519
256,2411777,9421,5,0.75,3649,0.387326186180,0.564966928819,0.036233071181
256,2304257,9001,5,0.75,3486,0.387290301078,0.564914585609,0.036285414391
256,2437121,9520,5,0.75,3687,0.387289915966,0.564914023873,0.036285976127
256,2178049,8508,5,0.75,3295,0.387282557593,0.564903290703,0.036296709297
512,4612609,9009,5,0.75,3489,0.387279387279,0.564898666378,0.036301333622
256,2155009,8418,5,0.75,3260,0.387265383702,0.564878240291,0.036321759709
256,2535937,9906,5,0.75,3836,0.387240056531,0.564841297233,0.036358702767
256,2474497,9666,5,0.75,3743,0.387233602317,0.564831882901,0.036368117099
256,2349569,9178,5,0.75,3554,0.387230333406,0.564827114758,0.036372885242
256,2217473,8662,5,0.75,3354,0.387208496883,0.564795263275,0.036404736725
512,4546049,8879,5,0.75,3438,0.387205766415,0.564791280523,0.036408719477
1024,8939521,8730,5,0.75,3380,0.387170675830,0.564740096223,0.036459903777
1024,9624577,9399,5,0.75,3639,0.387168847750,0.564737429723,0.036462570277
256,2209793,8632,5,0.75,3342,0.387164040778,0.564730418114,0.036469581886
1024,8770561,8565,5,0.75,3316,0.387157034442,0.564720198438,0.036479801562
1024,10212353,9973,5,0.75,3861,0.387145292289,0.564703070941,0.036496929059
512,4513793,8816,5,0.75,3413,0.387137023593,0.564691009944,0.036508990056
512,4958209,9684,5,0.75,3749,0.387133415944,0.564685747706,0.036514252294
1024,8451073,8253,5,0.75,3195,0.387131952017,0.564683612374,0.036516387626
512,4796929,9369,5,0.75,3627,0.387127761768,0.564677500335,0.036522499665
256,2389249,9333,5,0.75,3613,0.387120968606,0.564667591603,0.036532408397
512,4417537,8628,5,0.75,3340,0.387111729254,0.564654114774,0.036545885226
512,4890113,9551,5,0.75,3697,0.387079886923,0.564607668486,0.036592331514
256,2429953,9492,5,0.75,3674,0.387062789718,0.564582729931,0.036617270069
256,2342657,9151,5,0.75,3542,0.387061523331,0.564580882736,0.036619117264
1024,9720833,9493,5,0.75,3674,0.387022016222,0.564523256347,0.036676743653
256,2360833,9222,5,0.75,3569,0.387009325526,0.564504745272,0.036695254728
1024,8427521,8230,5,0.75,3185,0.386998784933,0.564489370411,0.036710629589
256,2264321,8845,5,0.75,3423,0.386998304127,0.564488669091,0.036711330909
1024,9118721,8905,5,0.75,3446,0.386973610331,0.564452649895,0.036747350105
256,2109697,8241,5,0.75,3189,0.386967601019,0.564443884512,0.036756115488
256,2136833,8347,5,0.75,3230,0.386965376782,0.564440640165,0.036759359835
1024,9779201,9550,5,0.75,3695,0.386910994764,0.564361316735,0.036838683265
256,2292737,8956,5,0.75,3465,0.386891469406,0.564332836394,0.036867163606
1024,10116097,9879,5,0.75,3822,0.386881263286,0.564317949406,0.036882050594
1024,9409537,9189,5,0.75,3555,0.386875612145,0.564309706463,0.036890293537
256,2262529,8838,5,0.75,3419,0.386852229011,0.564275599042,0.036924400958
256,2124289,8298,5,0.75,3210,0.386840202458,0.564258056710,0.036941943290
256,2431489,9498,5,0.75,3674,0.386818277532,0.564226076279,0.036973923721
1024,9019393,8808,5,0.75,3407,0.386807447775,0.564210279633,0.036989720367
256,2284033,8922,5,0.75,3451,0.386796682358,0.564194576836,0.037005423164
256,2479361,9685,5,0.75,3746,0.386783686113,0.564175620078,0.037024379922
512,5032961,9830,5,0.75,3802,0.386775178026,0.564163209899,0.037036790101
512,4544513,8876,5,0.75,3433,0.386773321316,0.564160501639,0.037039498361
256,2480897,9691,5,0.75,3748,0.386750593334,0.564127349844,0.037072650156
512,4909057,9588,5,0.75,3708,0.386733416771,0.564102295535,0.037097704465
256,2314241,9040,5,0.75,3496,0.386725663717,0.564090986671,0.037109013329
1024,8876033,8668,5,0.75,3352,0.386709736964,0.564067755376,0.037132244624
256,2182657,8526,5,0.75,3297,0.386699507389,0.564052834177,0.037147165823
256,2546177,9946,5,0.75,3846,0.386688115825,0.564036218061,0.037163781939
512,4868609,9509,5,0.75,3677,0.386686297192,0.564033565341,0.037166434659
256,2387969,9328,5,0.75,3607,0.386685248714,0.564032035996,0.037167964004
512,4274177,8348,5,0.75,3228,0.386679444178,0.564023569306,0.037176430694
512,4396033,8586,5,0.75,3320,0.386675984160,0.564018522408,0.037181477592
